yil,sinav,ders,soru_no,cevap
2020,AYT,Matematik,33,B
2020,AYT,Matematik,34,B
2020,AYT,Matematik,35,C
2020,AYT,Matematik,36,E
2020,AYT,Matematik,37,C
2020,AYT,Matematik,38,A
2020,AYT,Matematik,39,A
2020,AYT,Matematik,40,C
2020,AYT,Sosyal2,1,A
2020,AYT,Sosyal2,2,E
2020,AYT,Sosyal2,3,D
2020,AYT,Sosyal2,4,A
2020,AYT,Sosyal2,5,C
2020,AYT,Sosyal2,6,D
2020,AYT,Sosyal2,7,E
2020,AYT,Sosyal2,8,C
2020,AYT,Sosyal2,9,B
2020,AYT,Sosyal2,10,B
2020,AYT,Sosyal2,11,C
2020,AYT,Sosyal2,12,A
2020,AYT,Sosyal2,13,E
2020,AYT,Sosyal2,14,D
2020,AYT,Sosyal2,15,B
2020,AYT,Sosyal2,16,A
2020,AYT,Sosyal2,17,B
2020,AYT,Sosyal2,18,E
2020,AYT,Sosyal2,19,D
2020,AYT,Sosyal2,20,C
2020,AYT,Sosyal2,21,C
2020,AYT,Sosyal2,22,D
2020,AYT,Sosyal2,23,E
2020,AYT,Sosyal2,24,C
2020,AYT,Sosyal2,25,B
2020,AYT,Sosyal2,26,E
2020,AYT,Sosyal2,27,B
2020,AYT,Sosyal2,28,A
2020,AYT,Sosyal2,29,B
2020,AYT,Sosyal2,30,D
2020,AYT,Sosyal2,31,B
2020,AYT,Sosyal2,32,D
2020,AYT,Sosyal2,33,C
2020,AYT,Sosyal2,34,C
2020,AYT,Sosyal2,35,B
2020,AYT,Sosyal2,36,C
2020,AYT,Sosyal2,37,A
2020,AYT,Sosyal2,38,C
2020,AYT,Sosyal2,39,E
2020,AYT,Sosyal2,40,D
2020,AYT,Sosyal2,41,B
2020,AYT,Sosyal2,42,A
2020,AYT,Sosyal2,43,C
2020,AYT,Sosyal2,44,D
2020,AYT,Sosyal2,45,E
2020,AYT,Sosyal2,46,D
2020,AYT,Fen,1,C
2020,AYT,Fen,2,C
2020,AYT,Fen,3,C
2020,AYT,Fen,4,D
2020,AYT,Fen,5,E
2020,AYT,Fen,6,C
